relative_time,AccX,AccY,AccZ
0,-7.774129390716553,0.15562623739242554,6.3088483810424805
40,-7.769340991973877,0.15562623739242554,6.3088483810424805
80,-7.764552593231201,0.14604924619197845,6.31842565536499
122,-7.766946792602539,0.11971249431371689,6.3351850509643555
161,-7.769340991973877,0.09098149836063385,6.356733322143555
201,-7.771735191345215,0.06943324953317642,
202,,,6.378281593322754
242,-7.757369518280029,0.045490749180316925,6.387858867645264
282,-7.723850250244141,0.033519499003887177,6.387858867645264
322,-7.68314790725708,0.038307998329401016,6.390253067016602
362,-7.647233963012695,0.026336748152971268,6.375887393951416
403,-7.596954822540283,0.045490749180316925,6.354339122772217
443,,0.055067747831344604,
444,-7.604137897491455,,6.361522197723389
483,-7.656811237335205,0.050279248505830765,6.399829864501953
523,-7.711878776550293,0.021548248827457428,6.462080478668213
564,-7.769340991973877,-0.047884996980428696,6.524331092834473
607,-7.733427047729492,-0.040702249854803085,6.562638759613037
644,-7.663993835449219,-0.026336748152971268,6.572216033935547
685,-7.606532096862793,-0.033519499003887177,6.565033435821533
725,-7.541887283325195,-0.057461999356746674,6.5267252922058105
765,-7.489213466644287,-0.08140449970960617,6.488417148590088
806,-7.4796366691589355,-0.09816424548625946,6.488417148590088
846,-7.491608142852783,-0.11252974718809128,
847,,,6.519542694091797
886,-7.498790740966797,-0.11971249431371689,6.593764305114746
927,-7.494002342224121,-0.13168373703956604,7.364712715148926
967,-7.448511600494385,-0.15562623739242554,7.381472587585449
1007,-7.379078388214111,-0.1987227350473404,7.374289512634277
1047,-7.30964469909668,-0.2537904977798462,
1048,,,7.343164443969727
1088,-7.254577159881592,-0.32082948088645935,7.285702228546143
1128,-7.225846290588379,-1.0534698963165283,7.221057891845703
1172,-7.230634689331055,-1.063046932220459,7.175567150115967
1208,,-1.063046932220459,
1209,-7.249788761138916,,7.139653205871582
1248,-7.264153957366943,-1.0534698963165283,
1249,,,7.094162464141846
1290,-7.285702228546143,-1.046287178993225,7.036700248718262
1329,-7.326404571533203,-1.0319217443466187,
1330,,,6.9624786376953125
1373,-7.386260986328125,-1.0127676725387573,6.265751838684082
1410,-8.238614082336426,-0.9888252019882202,6.299271583557129
1450,-8.260162353515625,-0.9576999545097351,6.349550724029541
1490,-8.262556076049805,-0.9241804480552673,6.404618263244629
1531,-8.231431007385254,-0.8930552005767822,6.442926406860352
1571,-8.166786193847656,-0.8595356941223145,
1572,,,6.450109004974365
1611,-8.090170860290527,-0.8355932235717773,
1613,,,6.438138008117676
1651,-7.391049385070801,-0.8116506934165955,
1652,,,6.426166534423828
1691,-7.3982319831848145,-0.7853139638900757,
1692,,,6.440532207489014
1732,-7.414991855621338,-0.7661599516868591,6.478840351104736
1773,-7.434145927429199,-0.7589772343635559,6.529119491577148
1812,-7.422174453735352,-0.7685542106628418,6.574610233306885
1856,-7.407809257507324,-0.782919704914093,6.627283573150635
1893,-7.381472587585449,-0.8140449523925781,6.6631975173950195
1933,-7.347952842712402,-0.8427759408950806,6.699110984802246
1974,-7.316827774047852,-0.8643242120742798,6.727842330932617
2014,-7.307250499725342,-0.8810839653015137,6.751784801483154
2054,-7.29767370223999,-0.885872483253479,
2055,,,6.761361598968506
2095,-7.2928853034973145,-0.8762954473495483,6.758967399597168
2135,-7.290491104125977,-0.8475644588470459,
2136,,,6.744601726531982
2175,-7.283308029174805,-0.8164392113685608,6.713476657867432
2215,-7.290491104125977,-0.782919704914093,
2216,,,6.691928386688232
2256,-7.314433574676514,-0.7517944574356079,6.679957389831543
2296,-7.357530117034912,-0.7278519868850708,6.672774314880371
2340,-7.422174453735352,-0.7110922336578369,6.682351589202881
2376,-7.477242469787598,-0.6967267394065857,6.696716785430908
2417,-7.501184940338135,-0.6775727272033691,
2418,,,6.691928386688232
2458,-7.501184940338135,-0.6608129739761353,6.679957389831543
2497,-7.489213466644287,-0.6416589617729187,6.667985916137695
2538,-7.467665195465088,-0.6225049495697021,6.667985916137695
2578,-7.443722724914551,-0.6033509969711304,6.684745788574219
2623,-7.417386054992676,-0.5865912437438965,6.711082458496094
2658,,-0.5770142078399658,
2659,-7.369501113891602,,6.744601726531982
2699,-7.321616172790527,-0.5746199488639832,6.782909870147705
2739,-7.290491104125977,-0.5794084668159485,
2740,,,6.81882381439209
2780,-7.2617597579956055,-0.5889855027198792,6.845160484313965
2824,-7.259365558624268,-0.6033509969711304,6.864314556121826
2860,-7.276125431060791,-0.6201107501983643,6.869102954864502
2900,-7.295279502868652,-0.6344762444496155,6.85952615737915
2940,-7.331192970275879,-0.6416589617729187,6.849948883056641
2980,,-0.639264702796936,
2981,-7.355135917663574,,6.835583686828613
3022,-7.381472587585449,-0.6296877264976501,6.833189010620117
3061,,-0.6057451963424683,
3062,-7.391049385070801,,6.842766284942627
3102,-7.386260986328125,-0.5746199488639832,6.85952615737915
3142,-7.388655185699463,-0.5411005020141602,6.88107442855835
3182,-7.379078388214111,-0.5075809955596924,6.893045425415039
3222,-7.367106914520264,-0.4740614891052246,6.905016899108887
3262,,-0.4429362416267395,
3263,-7.333587646484375,,6.9098052978515625
3303,-7.295279502868652,-0.41659948229789734,
3304,,,6.916987895965576
3343,-7.24500036239624,-0.40702247619628906,6.928959369659424
3384,-7.19472074508667,-0.3974454700946808,6.981632709503174
3424,-7.175567150115967,-0.3639259934425354,7.795677661895752
3464,,-0.33519497513771057,
3465,-7.137259006500244,,7.845956802368164
3506,-6.222655296325684,-0.3112524747848511,7.903419017791748
3545,-6.1460394859313965,-0.28252148628234863,7.922573089599609
3585,-5.320023059844971,-0.26576173305511475,7.8890533447265625
3625,-5.264955520629883,-0.2705502510070801,7.853139877319336
3666,-5.229041576385498,-0.2777329981327057,7.8363800048828125
3707,-5.241013050079346,-0.2873099744319916,7.83877420425415
3746,-5.310446262359619,-0.30406972765922546,7.843562602996826
3790,-6.167587757110596,-0.32082948088645935,7.833985805511475
3826,,-0.3328007459640503,
3827,-6.9624786376953125,,7.800466060638428
3867,-7.005575180053711,-0.34477198123931885,
3868,,,7.7525811195373535
3907,-7.053460121154785,-0.3567432463169098,7.702301979064941
3947,,-0.3782914876937866,
3948,-7.091768264770508,,7.637657165527344
3988,-7.115710735321045,-0.39983972907066345,7.570618152618408
4028,-7.144441604614258,-0.42378222942352295,7.503579139709473
4068,-7.177961349487305,-0.4596959948539734,7.431751728057861
4108,-7.211480617523193,-0.4980039894580841,
4109,,,7.362318515777588
4149,-7.247394561767578,-0.5243407487869263,7.30964469909668
4189,-7.273731231689453,-0.5458889603614807,
4190,,,7.273731231689453
4230,,-0.557860255241394,
4231,-7.271337032318115,,7.249788761138916
4273,,-0.5770142078399658,
4274,-7.2354230880737305,,7.230634689331055
4311,-7.180355548858643,-0.5794084668159485,7.223452091217041
4351,-7.1252875328063965,-0.5674372315406799,7.225846290588379
4390,-7.082190990447998,-0.5458889603614807,7.242606163024902
4431,-7.051065921783447,-0.5243407487869263,7.271337032318115
4471,-7.02712345123291,-0.502792477607727,7.307250499725342
4512,-6.995998382568359,-0.4812442362308502,7.340770244598389
4552,-6.9361419677734375,-0.4692729711532593,7.367106914520264
4592,-6.857131481170654,-0.46448448300361633,7.376683712005615
4632,-6.138856887817383,-0.4596959948539734,7.364712715148926
4673,-6.138856887817383,-0.46209022402763367,7.347952842712402
4713,-6.158010959625244,-0.47166723012924194,7.326404571533203
4756,-6.210684299468994,-0.48603272438049316,7.314433574676514
