relative_time,AccX,AccY,AccZ
1571,-5.509169101715088,-12.004769325256348,1.6161186695098877
1612,-4.654421806335449,-12.074202537536621,1.5562623739242554
1652,-3.787703275680542,,
1654,,-12.019134521484375,1.4964061975479126
1694,-2.7150793075561523,,
1695,,-11.248186111450195,1.4676752090454102
1732,-2.6360690593719482,-9.342363357543945,1.4940118789672852
1773,-1.9465252161026,-7.276125431060791,1.565839409828186
1813,-3.1460442543029785,-7.206692218780518,1.5993589162826538
1853,-4.048676490783691,-7.2617597579956055,1.6640037298202515
1896,-4.089378833770752,-7.314433574676514,2.365518808364868
1934,-4.122898101806641,-8.145237922668457,
1935,,,2.4086153507232666
1979,-4.070224761962891,-8.1596040725708,2.4900197982788086
2015,-3.2609684467315674,-8.087776184082031,2.4900197982788086
2054,-2.485231399536133,,
2055,,-8.082987785339355,2.482837200164795
2096,-3.356738328933716,-9.957685470581055,1.6735806465148926
2135,-3.3663153648376465,-11.355927467346191,1.6831576824188232
2180,-4.450910568237305,-11.331984519958496,1.6328784227371216
2215,-5.4086103439331055,,
2216,,-12.088567733764648,1.6400611400604248
2257,-4.271341800689697,-12.021529197692871,-0.11731824278831482
2296,-4.168388843536377,-10.711874008178711,-0.1436549872159958
2337,-4.14444637298584,-10.735816955566406,-0.0790102481842041
2377,-4.1037445068359375,-9.730231285095215,
2378,,,-0.03591374680399895
2417,-4.077407360076904,-8.911397933959961,0.023942498490214348
2459,-4.077407360076904,-8.861119270324707,0.8739011883735657
2497,-4.077407360076904,-8.815628051757812,0.9026322364807129
2539,-4.055859088897705,-8.082987785339355,0.9146034717559814
2579,-4.0798020362854,-8.049468040466309,0.9241804480552673
2619,-5.032713413238525,-8.061439514160156,1.0031907558441162
2663,-5.087780952453613,-8.968859672546387,1.7430139780044556
2699,-5.106935024261475,-10.831586837768555,1.814841389656067
2740,-5.0829925537109375,-11.753373146057129,1.8100528717041016
2779,-5.032713413238525,-11.794075012207031,1.7789276838302612
2820,-4.115715503692627,-11.779709815979004,1.8244184255599976
2860,-4.048676490783691,-9.950502395629883,1.8244184255599976
2901,-3.1508328914642334,-8.736618041992188,1.8052644729614258
2941,-2.1691904067993164,-7.604137897491455,1.812447190284729
