relative_time,AccX,AccY,AccZ
4174,-6.169981956481934,-1.4485211372375488,7.865110874176025
4214,-6.169981956481934,-1.4557039737701416,7.8627166748046875
4254,-6.16279935836792,-1.4557039737701416,7.853139877319336
4295,-6.155616283416748,-1.4533096551895142,7.8363800048828125
4337,-6.138856887817383,-1.4365499019622803,7.8100433349609375
4375,-6.131673812866211,-1.429367184638977,7.800466060638428
4420,-6.117308616638184,-1.4221844673156738,7.781311988830566
4454,,,7.774129390716553
4455,-6.112520217895508,-1.4221844673156738,
4494,,,7.766946792602539
4495,-6.114914417266846,-1.4173959493637085,
4536,-6.124491214752197,-1.4102132320404053,7.781311988830566
4575,,,7.8076491355896
4576,-6.138856887817383,-1.40542471408844,
4619,-6.15322208404541,-1.3982419967651367,7.829196929931641
4655,-6.167587757110596,-1.3862706422805786,7.857928276062012
4696,-6.177164554595947,-1.3814822435379028,7.877082347869873
4736,-6.191530227661133,-1.3838764429092407,7.908207416534424
4775,-6.1987128257751465,-1.3814822435379028,7.917784214019775
4820,-6.213078498840332,-1.3838764429092407,7.934544086456299
4856,-6.217866897583008,-1.3838764429092407,7.934544086456299
4896,,,7.908207416534424
4897,-6.208290100097656,-1.3766937255859375,
4936,-6.201107025146484,-1.3719052076339722,7.879476547241211
4976,,,7.855534076690674
4977,-6.189136028289795,-1.37429940700531,
5020,-6.16279935836792,-1.37429940700531,7.817225933074951
5057,-6.143645286560059,-1.3790879249572754,7.790889263153076
5097,,,7.7861008644104
5098,-6.134068012237549,-1.391059160232544,
5137,-6.117308616638184,-1.4030303955078125,7.766946792602539
5178,-6.102942943572998,-1.4126074314117432,7.750186920166016
5219,-6.090971946716309,-1.415001630783081,7.738215446472168
5257,,,7.721456050872803
5258,-6.081394672393799,-1.4173959493637085,
5298,-6.086183071136475,-1.4221844673156738,7.721456050872803
5337,-6.090971946716309,-1.4269729852676392,7.723850250244141
5378,-6.110125541687012,-1.4413384199142456,7.743004322052002
5420,-6.129279613494873,-1.4557039737701416,7.757369518280029
5458,-6.134068012237549,-1.460492491722107,7.774129390716553
5503,-6.129279613494873,-1.460492491722107,7.757369518280029
5539,-6.141251087188721,-1.4509154558181763,7.754975318908691
5579,-6.136462688446045,-1.4341557025909424,7.738215446472168
5620,,,7.7262444496154785
5621,-6.131673812866211,-1.4221844673156738,
5658,-6.131673812866211,-1.415001630783081,7.728638648986816
5702,-6.126885414123535,-1.4078189134597778,7.740610122680664
5739,-6.129279613494873,-1.4006361961364746,7.759763717651367
5780,-6.124491214752197,-1.388664960861206,7.766946792602539
5819,-6.134068012237549,-1.3790879249572754,7.790889263153076
5860,,,7.802860260009766
5861,-6.134068012237549,-1.3695108890533447,
5899,,,7.812437534332275
5900,-6.134068012237549,-1.364722490310669,
5940,-6.141251087188721,-1.364722490310669,7.824408531188965
5979,-6.143645286560059,,7.824408531188965
5980,,-1.3623281717300415,
6021,-6.158010959625244,-1.3599339723587036,7.8363800048828125
6060,-6.16279935836792,,7.8363800048828125
6061,,-1.3575396537780762,
6102,-6.150827884674072,,7.826802730560303
6103,,-1.3575396537780762,
6140,-6.136462688446045,-1.364722490310669,7.817225933074951
6180,-6.114914417266846,-1.37429940700531,7.8052544593811035
6221,-6.067028999328613,-1.3766937255859375,7.764552593231201
6261,-6.033509731292725,-1.3838764429092407,7.738215446472168
6304,-6.014355659484863,-1.388664960861206,7.733427047729492
6341,-5.98562479019165,-1.3982419967651367,7.7262444496154785
6380,-5.9568939208984375,-1.40542471408844,7.714272975921631
6420,,,7.719061851501465
6421,-5.949710845947266,-1.4102132320404053,
6461,-5.937739849090576,-1.3982419967651367,7.719061851501465
6503,-5.9329514503479,-1.391059160232544,7.719061851501465
6541,-5.918585777282715,-1.3766937255859375,7.711878776550293
6586,,,7.728638648986816
6587,-5.923374176025391,-1.3862706422805786,
6622,,,7.73582124710083
6623,-5.913797378540039,-1.3862706422805786,
6662,-5.923374176025391,-1.388664960861206,
6703,,,7.8076491355896
6704,-5.928162574768066,-1.3862706422805786,
6743,-5.94492244720459,-1.3862706422805786,7.845956802368164
6787,-5.937739849090576,-1.3719052076339722,7.855534076690674
6822,-5.949710845947266,-1.37429940700531,7.865110874176025
6863,-5.964076519012451,-1.3719052076339722,7.872293472290039
6903,-5.961682319641113,-1.364722490310669,7.86032247543335
6943,-5.973653316497803,-1.3671166896820068,7.85074520111084
6987,-5.973653316497803,-1.3671166896820068,7.833985805511475
7024,-5.959288120269775,-1.364722490310669,7.8052544593811035
7064,-5.949710845947266,-1.3695108890533447,7.771735191345215
7103,,,7.750186920166016
7104,-5.9329514503479,,
7105,,-1.3695108890533447,
7144,-5.920979976654053,-1.3766937255859375,7.74539852142334
7186,,,7.743004322052002
7187,-5.913797378540039,-1.391059160232544,
7223,-5.916191577911377,-1.3982419967651367,7.743004322052002
7264,-5.920979976654053,-1.3862706422805786,7.759763717651367
7305,-5.935345649719238,-1.3862706422805786,7.774129390716553
7344,-5.949710845947266,-1.3814822435379028,7.8100433349609375
7386,-5.940134048461914,-1.37429940700531,7.819620132446289
7424,,,7.831591606140137
7425,-5.940134048461914,-1.3719052076339722,
7466,-5.94492244720459,-1.3790879249572754,7.85074520111084
7505,-5.94492244720459,-1.391059160232544,7.865110874176025
7545,-5.94492244720459,-1.4126074314117432,7.884264945983887
7588,-5.940134048461914,-1.4389442205429077,7.884264945983887
7625,-5.947316646575928,-1.4652808904647827,7.898630619049072
7665,-5.942528247833252,,7.90102481842041
7671,,-1.486829161643982,
7705,-5.949710845947266,-1.5083774328231812,7.908207416534424
7745,-5.966470718383789,-1.5371084213256836,7.922573089599609
7786,-5.964076519012451,-1.5562623739242554,7.893841743469238
7826,-5.978442192077637,-1.580204963684082,7.872293472290039
7866,-5.995201587677002,-1.6161186695098877,7.857928276062012
7906,-5.990413188934326,-1.6496381759643555,7.829196929931641
7947,-5.98562479019165,-1.67597496509552,7.812437534332275
7987,,,7.795677661895752
7988,-5.978442192077637,-1.6951289176940918,
8026,-5.976047515869141,-1.719071388244629,7.802860260009766
8066,-5.961682319641113,-1.733436942100525,7.781311988830566
8106,-5.9568939208984375,-1.7454081773757935,7.776523590087891
8147,-5.959288120269775,-1.7525908946990967,7.7789177894592285
8186,-5.961682319641113,-1.7645621299743652,7.783706188201904
8227,-5.968864917755127,-1.7789276838302612,7.790889263153076
8271,-5.9832305908203125,-1.788504719734192,7.8052544593811035
8307,,,7.824408531188965
8308,-5.992807388305664,-1.7908989191055298,
8348,-5.98562479019165,-1.7789276838302612,7.819620132446289
8388,,,7.826802730560303
8389,-5.992807388305664,-1.771744966506958,
8427,,,7.824408531188965
8428,-5.992807388305664,-1.7597737312316895,
8470,-5.990413188934326,-1.7525908946990967,7.822014331817627
8508,-6.002384662628174,,7.822014331817627
8509,,-1.7430139780044556,
8554,-6.0095672607421875,-1.7262542247772217,7.833985805511475
8588,-6.00717306137085,-1.7047059535980225,7.824408531188965
8628,,,7.824408531188965
8629,-6.026327133178711,-1.6975231170654297,
8671,-6.023932933807373,-1.678369164466858,7.812437534332275
8709,-6.028721332550049,,7.8076491355896
8710,,-1.6687921285629272,
8754,-6.031115531921387,,7.790889263153076
8755,,-1.661609411239624,
8788,-6.0382981300354,-1.6544266939163208,7.800466060638428
8829,-6.040692329406738,-1.6448496580123901,7.802860260009766
8869,,,7.831591606140137
8870,-6.057452201843262,-1.6448496580123901,
8909,-6.057452201843262,-1.6424554586410522,7.83877420425415
8950,-6.055058002471924,-1.637666940689087,7.843562602996826
8990,-6.071817874908447,-1.6472439765930176,7.865110874176025
9029,,,7.85074520111084
9030,-6.067028999328613,-1.6352726221084595,
9071,-6.083788871765137,,7.845956802368164
9072,,-1.623301386833191,
9111,-6.090971946716309,-1.596964716911316,7.833985805511475
9154,-6.071817874908447,-1.5754164457321167,7.800466060638428
9189,,,7.7861008644104
9190,-6.081394672393799,-1.5730221271514893,
9230,,,7.764552593231201
9231,-6.064634799957275,-1.565839409828186,
9270,-6.040692329406738,,7.743004322052002
9271,,-1.5586566925048828,
9311,-6.028721332550049,-1.5514739751815796,7.74539852142334
9354,-6.0095672607421875,-1.539502739906311,7.740610122680664
9391,-6.014355659484863,-1.539502739906311,7.759763717651367
9432,-6.019144058227539,-1.5299257040023804,7.771735191345215
9472,-6.040692329406738,-1.525137186050415,7.8076491355896
9511,,,7.833985805511475
9512,-6.0622406005859375,-1.5179544687271118,
9551,-6.086183071136475,-1.5131659507751465,7.865110874176025
9592,-6.10054874420166,-1.5083774328231812,7.877082347869873
9632,,,7.898630619049072
9633,-6.117308616638184,-1.5059832334518433,
9671,,,7.898630619049072
9672,-6.122097015380859,-1.501194715499878,
9712,-6.122097015380859,-1.4988003969192505,7.893841743469238
9752,-6.131673812866211,-1.5059832334518433,7.903419017791748
9792,-6.129279613494873,-1.5083774328231812,7.8914475440979
9837,-6.124491214752197,-1.5059832334518433,7.872293472290039
9872,,,7.843562602996826
9873,-6.112520217895508,-1.4940118789672852,
9914,-6.098154544830322,-1.4796464443206787,7.817225933074951
9955,,,7.802860260009766
9956,-6.086183071136475,-1.4748579263687134,
9992,-6.074212074279785,-1.470069408416748,7.771735191345215
10035,-6.057452201843262,,7.747792720794678
10036,,-1.4533096551895142,
10073,-6.064634799957275,-1.4533096551895142,7.750186920166016
10114,-6.067028999328613,-1.4580981731414795,7.754975318908691
10155,-6.079000473022461,,7.7789177894592285
10156,,-1.4676752090454102,
10193,,,7.800466060638428
10194,-6.0933661460876465,-1.470069408416748,
10236,,,8.542683601379395
10237,-6.126885414123535,-1.4820406436920166,
10274,,,8.528318405151367
10275,-6.136462688446045,-1.4820406436920166,
10314,-6.15322208404541,-1.4796464443206787,8.5187406539917
10354,-6.169981956481934,-1.470069408416748,8.504375457763672
10394,,,8.470855712890625
10395,-6.167587757110596,-1.4533096551895142,
10438,-6.15322208404541,-1.4389442205429077,8.425365447998047
10474,-6.134068012237549,-1.4221844673156738,7.448511600494385
10514,-6.107731342315674,-1.3982419967651367,7.450905799865723
10555,-6.086183071136475,-1.3862706422805786,7.450905799865723
10595,-6.055058002471924,-1.3719052076339722,7.450905799865723
10638,-6.026327133178711,-1.3575396537780762,7.4532999992370605
10675,-6.031115531921387,-1.3551454544067383,7.484425067901611
10720,,,7.525127410888672
10721,-6.040692329406738,-1.3599339723587036,
10755,,,7.551464080810547
10756,-6.0382981300354,,
10757,,-1.364722490310669,
10795,-6.0622406005859375,-1.3814822435379028,8.298470497131348
10836,-6.081394672393799,-1.3838764429092407,8.310441017150879
10875,-6.079000473022461,-1.3766937255859375,8.303258895874023
10920,,,8.284104347229004
10921,-6.074212074279785,-1.3790879249572754,
10955,,,8.272133827209473
10956,-6.069423675537109,-1.3814822435379028,
10996,-6.055058002471924,-1.388664960861206,8.243402481079102
11037,-6.028721332550049,-1.388664960861206,8.195517539978027
11076,-6.002384662628174,-1.388664960861206,7.450905799865723
11120,-5.992807388305664,-1.3934534788131714,7.455694198608398
11157,-5.973653316497803,-1.3934534788131714,7.4532999992370605
11196,,,7.431751728057861
11197,-5.94492244720459,-1.388664960861206,
11237,-5.9521050453186035,-1.4006361961364746,7.441328525543213
11277,-5.966470718383789,-1.415001630783081,7.470059871673584
11320,-5.961682319641113,-1.4269729852676392,7.467665195465088
11357,-5.992807388305664,-1.4341557025909424,7.489213466644287
11397,-6.014355659484863,-1.4269729852676392,7.513155937194824
11437,,,7.520339012145996
11438,-6.021538257598877,-1.415001630783081,
11478,-6.016749858856201,-1.4030303955078125,7.520339012145996
11521,-6.031115531921387,-1.415001630783081,7.553858280181885
11558,-6.021538257598877,-1.4126074314117432,7.5634355545043945
11598,-6.019144058227539,-1.4078189134597778,7.577800750732422
11638,-6.026327133178711,-1.3958476781845093,7.604137897491455
11678,-6.026327133178711,-1.388664960861206,7.628080368041992
11718,,,7.640051364898682
11719,-6.028721332550049,-1.3790879249572754,
11758,-6.031115531921387,-1.3719052076339722,7.649628639221191
11800,-6.0382981300354,-1.364722490310669,7.666388034820557
11839,-6.052663803100586,-1.3623281717300415,7.68314790725708
11879,-6.064634799957275,-1.3599339723587036,7.6999077796936035
11921,-6.086183071136475,-1.3575396537780762,7.716667175292969
11959,,,7.747792720794678
11960,-6.105337142944336,-1.3623281717300415,
12000,-6.112520217895508,-1.3719052076339722,7.7525811195373535
12039,-6.114914417266846,-1.3719052076339722,7.754975318908691
12079,,,7.766946792602539
12080,-6.110125541687012,-1.3695108890533447,
12120,-6.107731342315674,-1.364722490310669,7.764552593231201
12159,,,7.776523590087891
12160,-6.117308616638184,-1.3695108890533447,
12204,-6.112520217895508,-1.3695108890533447,7.769340991973877
12240,-6.098154544830322,-1.37429940700531,7.757369518280029
12280,-6.086183071136475,-1.3766937255859375,7.743004322052002
12321,-6.074212074279785,-1.3790879249572754,7.7262444496154785
12361,-6.071817874908447,-1.388664960861206,7.719061851501465
12404,-6.04787540435791,-1.3862706422805786,7.695119380950928
12441,-6.033509731292725,-1.3982419967651367,7.6687822341918945
12481,-6.0359039306640625,-1.40542471408844,7.675965309143066
12521,-6.033509731292725,-1.4173959493637085,7.68314790725708
12561,-6.028721332550049,-1.4197901487350464,7.692724704742432
12604,-6.045481204986572,-1.4173959493637085,7.716667175292969
12642,-6.04787540435791,-1.4102132320404053,7.723850250244141
12687,-6.04787540435791,-1.391059160232544,7.714272975921631
12721,-6.064634799957275,,7.728638648986816
12722,,-1.3814822435379028,
12761,-6.074212074279785,-1.3695108890533447,7.733427047729492
12801,-6.069423675537109,,7.733427047729492
12802,,-1.3623281717300415,
12842,-6.064634799957275,-1.3551454544067383,7.743004322052002
12883,-6.064634799957275,,7.766946792602539
12884,,-1.3575396537780762,
12922,-6.052663803100586,-1.3575396537780762,7.771735191345215
12963,-6.043086528778076,-1.3575396537780762,7.774129390716553
13005,-6.057452201843262,-1.3719052076339722,7.783706188201904
13043,-6.0622406005859375,-1.3766937255859375,7.788495063781738
13087,-6.055058002471924,-1.3790879249572754,7.776523590087891
13123,-6.064634799957275,,7.769340991973877
13124,,-1.3766937255859375,
13163,-6.074212074279785,-1.3838764429092407,7.783706188201904
13204,-6.064634799957275,-1.3934534788131714,7.766946792602539
13243,-6.055058002471924,-1.4126074314117432,7.740610122680664
13288,-6.055058002471924,-1.443732738494873,7.743004322052002
13323,-6.055058002471924,-1.4796464443206787,7.740610122680664
13363,-6.0598464012146,-1.5203486680984497,
13404,-6.057452201843262,-1.541896939277649,7.769340991973877
13444,-6.071817874908447,-1.5514739751815796,7.781311988830566
13488,-6.083788871765137,-1.5562623739242554,7.790889263153076
13524,-6.102942943572998,-1.5706279277801514,7.802860260009766
13564,-6.095760345458984,-1.580204963684082,7.79807186126709
13604,-6.110125541687012,-1.6041474342346191,7.795677661895752
13645,-6.107731342315674,-1.6089359521865845,7.788495063781738
13688,-6.107731342315674,-1.6185129880905151,7.781311988830566
13725,-6.098154544830322,-1.6256957054138184,7.764552593231201
13765,,,7.754975318908691
13766,-6.081394672393799,-1.6256957054138184,
13805,-6.0622406005859375,-1.6304842233657837,7.757369518280029
