relative_time,AccX,AccY,AccZ
0,0.10774124413728714,-9.883463859558105,-1.8244184255599976
42,0.10774124413728714,-9.888252258300781,-1.812447190284729
80,0.10534699261188507,-9.88106918334961,-1.8052644729614258
119,0.12210674583911896,-9.895434379577637,
120,,,-1.7956874370574951
159,0.16759748756885529,-9.907405853271484,
160,,,-1.757379412651062
200,0.21069398522377014,-9.905012130737305,-1.733436942100525
243,0.23942498862743378,-9.905012130737305,-1.7118886709213257
281,0.2609732449054718,-9.921772003173828,-1.6735806465148926
324,0.2920984923839569,-9.916982650756836,-1.637666940689087
360,0.3184352219104767,-9.936137199401855,-0.7733427286148071
401,0.2944927513599396,-9.948108673095703,0.057461999356746674
442,0.26576173305511475,-9.936137199401855,0.9505172371864319
481,0.2633674740791321,-9.902617454528809,0.9960079789161682
524,0.27294448018074036,-9.85952091217041,1.7597737312316895
561,0.2513962388038635,-8.806051254272461,1.798081636428833
602,0.22027099132537842,-8.810839653015137,1.8363896608352661
642,0.22745373845100403,,
643,,-8.82759952545166,1.8794862031936646
681,0.24900199472904205,,
682,,-8.844359397888184,2.832397699356079
726,0.2849157452583313,-8.84914779663086,2.885071039199829
762,0.33519497513771057,-8.868301391601562,2.911407947540283
802,1.364722490310669,-8.894638061523438,2.916196346282959
842,1.3958476781845093,-8.920974731445312,2.9329562187194824
882,1.3982419967651367,-9.624884605407715,2.9042251110076904
925,1.3814822435379028,-9.612913131713867,2.9018309116363525
962,1.3144432306289673,-9.588971138000488,
963,,,2.885071039199829
1003,-0.2681559920310974,-9.574604988098145,2.889859676361084
1043,-0.3328007459640503,-9.555451393127441,2.892253875732422
1083,-1.1468456983566284,-9.550662994384766,2.9066193103790283
1125,-1.1540284156799316,-9.529114723205566,2.916196346282959
1163,-1.1779710054397583,-8.77492618560791,2.9305617809295654
1203,-1.1899422407150269,-8.717463493347168,2.9784469604492188
1243,-1.1803652048110962,-8.688733100891113,4.031916618347168
1283,-1.1707881689071655,-7.934544086456299,4.075013160705566
1325,-1.1444514989852905,-7.896235942840576,5.17397403717041
1363,-1.101354956626892,,
1364,,-7.843562602996826,5.2194647789001465
1409,-0.37589722871780396,-6.864314556121826,5.995201587677002
1444,-0.4046282470226288,-6.835583686828613,6.011961460113525
1485,-0.44054198265075684,-6.122097015380859,6.0382981300354
1526,-0.48603272438049316,-6.105337142944336,6.090971946716309
1564,-1.4197901487350464,-6.112520217895508,7.137259006500244
1608,-1.4557039737701416,-6.102942943572998,7.165989875793457
1645,-1.4964061975479126,-6.050269603729248,
1646,,,7.206692218780518
1684,-2.229046583175659,,
1685,,-5.0255303382873535,7.249788761138916
1725,-2.2505948543548584,-4.996799468994141,8.36072063446045
1765,-2.2721431255340576,-4.9728569984436035,8.41100025177002
1809,-2.291297197341919,-4.948914527893066,9.117303848266602
1846,-2.3272109031677246,-4.905817985534668,9.148428916931152
1886,-3.1197075843811035,-3.782914876937866,9.1819486618042
1927,-3.1221017837524414,-3.7182700634002686,9.210679054260254
1966,-3.0957651138305664,-2.4924142360687256,9.222650527954102
2008,-3.0454859733581543,-2.4349522590637207,9.239410400390625
